"W1" "W2" "W3" "W4"
"348" 0.89 0.01 0.04 0.06
"349" 0.89 0.01 0.03 0.07
"350" 0.89 0.01 0.02 0.08
"351" 0.89 0.01 0.01 0.09
"352" 0.89 0.01 0 0.1
"353" 0.89 0 0.11 0
"354" 0.89 0 0.1 0.01
"355" 0.89 0 0.09 0.02
"356" 0.89 0 0.08 0.03
"357" 0.89 0 0.07 0.04
"358" 0.89 0 0.06 0.05
"359" 0.89 0 0.05 0.06
"360" 0.89 0 0.04 0.07
"361" 0.89 0 0.03 0.08
"362" 0.89 0 0.02 0.09
"363" 0.89 0 0.01 0.1
"364" 0.89 0 0 0.11
"365" 0.88 0.12 0 0
"366" 0.88 0.11 0.01 0
"367" 0.88 0.11 0 0.01
"368" 0.88 0.1 0.02 0
"369" 0.88 0.1 0.01 0.01
"370" 0.88 0.1 0 0.02
"371" 0.88 0.09 0.03 0
"372" 0.88 0.09 0.02 0.01
"373" 0.88 0.09 0.01 0.02
"374" 0.88 0.09 0 0.03
"375" 0.88 0.08 0.04 0
"376" 0.88 0.08 0.03 0.01
"377" 0.88 0.08 0.02 0.02
"378" 0.88 0.08 0.01 0.03
"379" 0.88 0.08 0 0.04
"380" 0.88 0.07 0.05 0
"381" 0.88 0.07 0.04 0.01
"382" 0.88 0.07 0.03 0.02
"383" 0.88 0.07 0.02 0.03
"384" 0.88 0.07 0.01 0.04
"385" 0.88 0.07 0 0.05
"386" 0.88 0.06 0.06 0
"387" 0.88 0.06 0.05 0.01
"388" 0.88 0.06 0.04 0.02
"389" 0.88 0.06 0.03 0.03
"390" 0.88 0.06 0.02 0.04
"391" 0.88 0.06 0.01 0.05
"392" 0.88 0.06 0 0.06
"393" 0.88 0.05 0.07 0
"394" 0.88 0.05 0.06 0.01
"395" 0.88 0.05 0.05 0.02
"396" 0.88 0.05 0.04 0.03
"397" 0.88 0.05 0.03 0.04
"398" 0.88 0.05 0.02 0.05
"399" 0.88 0.05 0.01 0.06
"400" 0.88 0.05 0 0.07
"401" 0.88 0.04 0.08 0
"402" 0.88 0.04 0.07 0.01
"403" 0.88 0.04 0.06 0.02
"404" 0.88 0.04 0.05 0.03
"405" 0.88 0.04 0.04 0.04
"406" 0.88 0.04 0.03 0.05
"407" 0.88 0.04 0.02 0.06
"408" 0.88 0.04 0.01 0.07
"409" 0.88 0.04 0 0.08
"410" 0.88 0.03 0.09 0
"411" 0.88 0.03 0.08 0.01
"412" 0.88 0.03 0.07 0.02
"413" 0.88 0.03 0.06 0.03
"414" 0.88 0.03 0.05 0.04
"415" 0.88 0.03 0.04 0.05
"416" 0.88 0.03 0.03 0.06
"417" 0.88 0.03 0.02 0.07
"418" 0.88 0.03 0.01 0.08
"419" 0.88 0.03 0 0.09
"420" 0.88 0.02 0.1 0
"421" 0.88 0.02 0.09 0.01
"422" 0.88 0.02 0.08 0.02
"423" 0.88 0.02 0.07 0.03
"424" 0.88 0.02 0.06 0.04
"425" 0.88 0.02 0.05 0.05
"426" 0.88 0.02 0.04 0.06
"427" 0.88 0.02 0.03 0.07
"428" 0.88 0.02 0.02 0.08
"429" 0.88 0.02 0.01 0.09
"430" 0.88 0.02 0 0.1
"431" 0.88 0.01 0.11 0
"432" 0.88 0.01 0.1 0.01
"433" 0.88 0.01 0.09 0.02
"434" 0.88 0.01 0.08 0.03
"435" 0.88 0.01 0.07 0.04
"436" 0.88 0.01 0.06 0.05
"437" 0.88 0.01 0.05 0.06
"438" 0.88 0.01 0.04 0.07
"439" 0.88 0.01 0.03 0.08
"440" 0.88 0.01 0.02 0.09
"441" 0.88 0.01 0.01 0.1
"442" 0.88 0.01 0 0.11
"443" 0.88 0 0.12 0
"444" 0.88 0 0.11 0.01
"445" 0.88 0 0.1 0.02
"446" 0.88 0 0.09 0.03
"447" 0.88 0 0.08 0.04
"448" 0.88 0 0.07 0.05
"449" 0.88 0 0.06 0.06
"450" 0.88 0 0.05 0.07
"451" 0.88 0 0.04 0.08
"452" 0.88 0 0.03 0.09
"453" 0.88 0 0.02 0.1
"454" 0.88 0 0.01 0.11
"455" 0.88 0 0 0.12
"456" 0.87 0.13 0 0
"457" 0.87 0.12 0.01 0
"458" 0.87 0.12 0 0.01
"459" 0.87 0.11 0.02 0
"460" 0.87 0.11 0.01 0.01
"461" 0.87 0.11 0 0.02
"462" 0.87 0.1 0.03 0
"463" 0.87 0.1 0.02 0.01
"464" 0.87 0.1 0.01 0.02
"465" 0.87 0.1 0 0.03
"466" 0.87 0.09 0.04 0
"467" 0.87 0.09 0.03 0.01
"468" 0.87 0.09 0.02 0.02
"469" 0.87 0.09 0.01 0.03
"470" 0.87 0.09 0 0.04
"471" 0.87 0.08 0.05 0
"472" 0.87 0.08 0.04 0.01
"473" 0.87 0.08 0.03 0.02
"474" 0.87 0.08 0.02 0.03
"475" 0.87 0.08 0.01 0.04
"476" 0.87 0.08 0 0.05
