"W1"	"W2"	"W3"
"287"	-0.77	0.87	0.9
"288"	-0.77	0.88	0.89
"289"	-0.77	0.89	0.88
"290"	-0.77	0.9	0.87
"291"	-0.77	0.91	0.86
"292"	-0.77	0.92	0.85
"293"	-0.77	0.93	0.84
"294"	-0.77	0.94	0.83
"295"	-0.77	0.95	0.82
"296"	-0.77	0.96	0.81
"297"	-0.77	0.97	0.8
"298"	-0.77	0.98	0.79
"299"	-0.77	0.99	0.78
"300"	-0.77	1	0.77
"301"	-0.76	0.76	1
"302"	-0.76	0.77	0.99
"303"	-0.76	0.78	0.98
"304"	-0.76	0.79	0.97
"305"	-0.76	0.8	0.96
"306"	-0.76	0.81	0.95
"307"	-0.76	0.82	0.94
"308"	-0.76	0.83	0.93
"309"	-0.76	0.84	0.92
"310"	-0.76	0.85	0.91
"311"	-0.76	0.86	0.9
"312"	-0.76	0.87	0.89
"313"	-0.76	0.88	0.88
"314"	-0.76	0.89	0.87
"315"	-0.76	0.9	0.86
"316"	-0.76	0.91	0.85
"317"	-0.76	0.92	0.84
"318"	-0.76	0.93	0.83
"319"	-0.76	0.94	0.82
"320"	-0.76	0.95	0.81
"321"	-0.76	0.96	0.8
"322"	-0.76	0.97	0.79
"323"	-0.76	0.98	0.78
"324"	-0.76	0.99	0.77
"325"	-0.76	1	0.76
"326"	-0.75	0.75	1
"327"	-0.75	0.76	0.99
"328"	-0.75	0.77	0.98
"329"	-0.75	0.78	0.97
"330"	-0.75	0.79	0.96
"331"	-0.75	0.8	0.95
"332"	-0.75	0.81	0.94
"333"	-0.75	0.82	0.93
"334"	-0.75	0.83	0.92
"335"	-0.75	0.84	0.91
"336"	-0.75	0.85	0.9
"337"	-0.75	0.86	0.89
"338"	-0.75	0.87	0.88
"339"	-0.75	0.88	0.87
"340"	-0.75	0.89	0.86
"341"	-0.75	0.9	0.85
"342"	-0.75	0.91	0.84
"343"	-0.75	0.92	0.83
"344"	-0.75	0.93	0.82
"345"	-0.75	0.94	0.81
"346"	-0.75	0.95	0.8
"347"	-0.75	0.96	0.79
"348"	-0.75	0.97	0.78
"349"	-0.75	0.98	0.77
"350"	-0.75	0.99	0.76
"351"	-0.75	1	0.75
"352"	-0.74	0.74	1
"353"	-0.74	0.75	0.99
"354"	-0.74	0.76	0.98
"355"	-0.74	0.77	0.97
"356"	-0.74	0.78	0.96
"357"	-0.74	0.79	0.95
"358"	-0.74	0.8	0.94
"359"	-0.74	0.81	0.93
"360"	-0.74	0.82	0.92
"361"	-0.74	0.83	0.91
"362"	-0.74	0.84	0.9
"363"	-0.74	0.85	0.89
"364"	-0.74	0.86	0.88
"365"	-0.74	0.87	0.87
"366"	-0.74	0.88	0.86
"367"	-0.74	0.89	0.85
"368"	-0.74	0.9	0.84
"369"	-0.74	0.91	0.83
"370"	-0.74	0.92	0.82
"371"	-0.74	0.93	0.81
"372"	-0.74	0.94	0.8
"373"	-0.74	0.95	0.79
"374"	-0.74	0.96	0.78
"375"	-0.74	0.97	0.77
"376"	-0.74	0.98	0.76
"377"	-0.74	0.99	0.75
"378"	-0.74	1	0.74
"379"	-0.73	0.73	1
"380"	-0.73	0.74	0.99
"381"	-0.73	0.75	0.98
"382"	-0.73	0.76	0.97
"383"	-0.73	0.77	0.96
"384"	-0.73	0.78	0.95
"385"	-0.73	0.79	0.94
"386"	-0.73	0.8	0.93
"387"	-0.73	0.81	0.92
"388"	-0.73	0.82	0.91
"389"	-0.73	0.83	0.9
"390"	-0.73	0.84	0.89
"391"	-0.73	0.85	0.88
"392"	-0.73	0.86	0.87
"393"	-0.73	0.87	0.86
"394"	-0.73	0.88	0.85
"395"	-0.73	0.89	0.84
"396"	-0.73	0.9	0.83
"397"	-0.73	0.91	0.82
"398"	-0.73	0.92	0.81
"399"	-0.73	0.93	0.8
"400"	-0.73	0.94	0.79
"401"	-0.73	0.95	0.78
"402"	-0.73	0.96	0.77
"403"	-0.73	0.97	0.76
"404"	-0.73	0.98	0.75
"405"	-0.73	0.99	0.74
"406"	-0.73	1	0.73
"407"	-0.72	0.72	1
"408"	-0.72	0.73	0.99
"409"	-0.72	0.74	0.98
"410"	-0.72	0.75	0.97
"411"	-0.72	0.76	0.96
"412"	-0.72	0.77	0.95
"413"	-0.72	0.78	0.94
"414"	-0.72	0.79	0.93
"415"	-0.72	0.8	0.92
"416"	-0.72	0.81	0.91
"417"	-0.72	0.82	0.9
"418"	-0.72	0.83	0.89
"419"	-0.72	0.84	0.88
"420"	-0.72	0.85	0.87
"421"	-0.72	0.86	0.86
"422"	-0.72	0.87	0.85
"423"	-0.72	0.88	0.84
"424"	-0.72	0.89	0.83
"425"	-0.72	0.9	0.82
"426"	-0.72	0.91	0.81
"427"	-0.72	0.92	0.8
"428"	-0.72	0.93	0.79
"429"	-0.72	0.94	0.78
"430"	-0.72	0.95	0.77
"431"	-0.72	0.96	0.76
"432"	-0.72	0.97	0.75
"433"	-0.72	0.98	0.74
"434"	-0.72	0.99	0.73
"435"	-0.72	1	0.72
"436"	-0.71	0.71	1
"437"	-0.71	0.72	0.99
"438"	-0.71	0.73	0.98
"439"	-0.71	0.74	0.97
"440"	-0.71	0.75	0.96
"441"	-0.71	0.76	0.95
"442"	-0.71	0.77	0.94
"443"	-0.71	0.78	0.93
"444"	-0.71	0.79	0.92
"445"	-0.71	0.8	0.91
"446"	-0.71	0.81	0.9
"447"	-0.71	0.82	0.89
"448"	-0.71	0.83	0.88
"449"	-0.71	0.84	0.87
"450"	-0.71	0.85	0.86
"451"	-0.71	0.86	0.85
"452"	-0.71	0.87	0.84
"453"	-0.71	0.88	0.83
"454"	-0.71	0.89	0.82
"455"	-0.71	0.9	0.81
"456"	-0.71	0.91	0.8
"457"	-0.71	0.92	0.79
"458"	-0.71	0.93	0.78
"459"	-0.71	0.94	0.77
"460"	-0.71	0.95	0.76
"461"	-0.71	0.96	0.75
"462"	-0.71	0.97	0.74
"463"	-0.71	0.98	0.73
"464"	-0.71	0.99	0.72
"465"	-0.71	1	0.71
"466"	-0.7	0.7	1
"467"	-0.7	0.71	0.99
"468"	-0.7	0.72	0.98
"469"	-0.7	0.73	0.97
"470"	-0.7	0.74	0.96
"471"	-0.7	0.75	0.95
"472"	-0.7	0.76	0.94
"473"	-0.7	0.77	0.93
"474"	-0.7	0.78	0.92
"475"	-0.7	0.79	0.91
"476"	-0.7	0.8	0.9
"477"	-0.7	0.81	0.89
"478"	-0.7	0.82	0.88
"479"	-0.7	0.83	0.87
"480"	-0.7	0.84	0.86
"481"	-0.7	0.85	0.85
"482"	-0.7	0.86	0.84
"483"	-0.7	0.87	0.83
"484"	-0.7	0.88	0.82
"485"	-0.7	0.89	0.81
"486"	-0.7	0.9	0.8
"487"	-0.7	0.91	0.79
"488"	-0.7	0.92	0.78
"489"	-0.7	0.93	0.77
"490"	-0.7	0.94	0.76
"491"	-0.7	0.95	0.75
"492"	-0.7	0.96	0.74
"493"	-0.7	0.97	0.73
"494"	-0.7	0.98	0.72
"495"	-0.7	0.99	0.71
"496"	-0.7	1	0.7
"497"	-0.69	0.69	1
"498"	-0.69	0.7	0.99
"499"	-0.69	0.71	0.98
"500"	-0.69	0.72	0.97
"501"	-0.69	0.73	0.96
"502"	-0.69	0.74	0.95
"503"	-0.69	0.75	0.94
"504"	-0.69	0.76	0.93
"505"	-0.69	0.77	0.92
"506"	-0.69	0.78	0.91
"507"	-0.69	0.79	0.9
"508"	-0.69	0.8	0.89
"509"	-0.69	0.81	0.88
"510"	-0.69	0.82	0.87
"511"	-0.69	0.83	0.86
"512"	-0.69	0.84	0.85
"513"	-0.69	0.85	0.84
"514"	-0.69	0.86	0.83
"515"	-0.69	0.87	0.82
"516"	-0.69	0.88	0.81
"517"	-0.69	0.89	0.8
"518"	-0.69	0.9	0.79
"519"	-0.69	0.91	0.78
"520"	-0.69	0.92	0.77
"521"	-0.69	0.93	0.76
"522"	-0.69	0.94	0.75
"523"	-0.69	0.95	0.74
"524"	-0.69	0.96	0.73
"525"	-0.69	0.97	0.72
"526"	-0.69	0.98	0.71
"527"	-0.69	0.99	0.7
"528"	-0.69	1	0.69
"529"	-0.68	0.68	1
"530"	-0.68	0.69	0.99
"531"	-0.68	0.7	0.98
"532"	-0.68	0.71	0.97
"533"	-0.68	0.72	0.96
"534"	-0.68	0.73	0.95
"535"	-0.68	0.74	0.94
"536"	-0.68	0.75	0.93
"537"	-0.68	0.76	0.92
"538"	-0.68	0.77	0.91
"539"	-0.68	0.78	0.9
"540"	-0.68	0.79	0.89
"541"	-0.68	0.8	0.88
"542"	-0.68	0.81	0.87
"543"	-0.68	0.82	0.86
"544"	-0.68	0.83	0.85
"545"	-0.68	0.84	0.84
"546"	-0.68	0.85	0.83
"547"	-0.68	0.86	0.82
"548"	-0.68	0.87	0.81
"549"	-0.68	0.88	0.8
"550"	-0.68	0.89	0.79
"551"	-0.68	0.9	0.78
"552"	-0.68	0.91	0.77
"553"	-0.68	0.92	0.76
"554"	-0.68	0.93	0.75
"555"	-0.68	0.94	0.74
"556"	-0.68	0.95	0.73
"557"	-0.68	0.96	0.72
"558"	-0.68	0.97	0.71
"559"	-0.68	0.98	0.7
"560"	-0.68	0.99	0.69
"561"	-0.68	1	0.68
"562"	-0.67	0.67	1
"563"	-0.67	0.68	0.99
"564"	-0.67	0.69	0.98
"565"	-0.67	0.7	0.97
"566"	-0.67	0.71	0.96
"567"	-0.67	0.72	0.95
"568"	-0.67	0.73	0.94
"569"	-0.67	0.74	0.93
"570"	-0.67	0.75	0.92
"571"	-0.67	0.76	0.91
"572"	-0.67	0.77	0.9
"573"	-0.67	0.78	0.89
